No-Intro Name,Game Title,Game Code,ROM Version,Byte-Order,SHA256
Controller Kensa-ki NUS-yo N Cassette (Japan) (Test Program),(empty),(unknown),0 (0x00),big,69e616893d731d55a64fdcf16ebf02dbf1219ca75c87e5fcf2b33065e0da4df1
Cruis'n Exotica (USA),CruisnExotica,NXOE,0 (0x00),big,d26ecb1b3a3dc965acc1063cc243ab573bf5ffca310e96aff2f6d2265a49f0b1
Cruis'n USA (Europe),Cruis'n USA,NCUP,0 (0x00),big,25fd3ca587edc8316080f28814b7a22fddce2338ef22ac23ed61dbc87b4d8473
Cruis'n USA (USA),Cruis'n USA,NCUE,0 (0x00),big,2eee547273101e02bb96d0ef3db5e400f0506fba77397719d33b1072617c0558
Cruis'n USA (USA) (Rev 1),Cruis'n USA,NCUE,1 (0x01),big,9c7cf76974a0219575ff0fc007f9fb2ccd9c1971b7571e3c6269a946f095df5b
Cruis'n USA (USA) (Rev 2),Cruis'n USA,NCUE,2 (0x02),big,86db95f334c54fd900db7dce9a2f5880e933cc3650e4e4ebfc2def0f4bcd59c6
Cruis'n USA (USA) (Wii Virtual Console),Cruis'n USA,NCUE,0 (0x00),big,0a0dac296e92ee45248598db422828bf52a2dcd81f1b379b707377b14290eedc
Cruis'n World (Europe),CRUIS'N WORLD,NCWP,0 (0x00),big,775d164c1e2448dc71b50061ece0fb00aae17f357db97604b47af8f126addb9e
Cruis'n World (Europe) (Rev 1),CRUIS'N WORLD,NCWP,1 (0x01),big,a73a35fac126d7058c84fbdd2566cc542bd875e9e31fd3cabf33a7ef6536efd6
Cruis'n World (USA),CRUIS'N WORLD,NCWE,0 (0x00),big,5320594232f0c492a672464832425351bd06497c95fb243745e2493bc5df9c2c
Custom Robo (Japan),custom robo,NCXJ,0 (0x00),big,9b66c00a983ceccccf17727731173d7c7eeef9f7c13faf44ae89e5d2b9f656c1
Custom Robo V2 (Japan),CUSTOMROBOV2,NCZJ,0 (0x00),big,60acf8dc7361f155ec8c987f75c6988ca1b0ccd36baefaffd67c24af6d21ace1
CyberTiger (Europe),CyberTiger,NT4P,0 (0x00),big,868dbb42eb29614da40e298532f4ae86c4905de8c54b73059e41d2aae42a9fc5
CyberTiger (USA),CyberTiger,NT4E,0 (0x00),big,cb05fdd1aaed4b8db33094d065e87d6ef123db45516816e6f2565cf09e28f395
"Daffy Duck Starring as Duck Dodgers (Europe) (En,Fr,De,Es,It,Nl)",DAFFY DUCK STARRING,NDUP,0 (0x00),big,296938fb1192d721944e2036b988262af9c556cf432ff9353623495f7e297bb9
Dance Dance Revolution - Disney Dancing Museum (Japan),DDR DISNEY D MUSEUM,NDFJ,0 (0x00),big,6faae1c2878a411a5cb1a3fcfef5456a3aa010b448a25b476d759365247ecd77
Dark Rift (Europe),DARK RIFT,NDKP,0 (0x00),big,3c528bd0671c72d1a65ae022617b481d1b7bdfad1109f5fa3c300290e3f7cd35
Dark Rift (USA),DARK RIFT,NDKE,0 (0x00),big,e9eca077b22369b958dbde8d1a540ad77516d8e0a8e14e4bd982007d291dbae2
Deadly Arts (USA),DeadlyArts,NGAE,0 (0x00),big,80ba81827277bc1f171a00c4669406a3ef51d419f3aa0d510b9b567b43531a2c
Defi au Tetris Magique (France),MAGICAL TETRIS,NMTF,0 (0x00),big,7d58b339526d2068f3801c213bca2c1443cab3897d553f3f2595ce2f94b9c857
Densha de Go! 64 (Japan),GO!64,ND6J,0 (0x00),big,91b32c77c070fc87c194e7945b3a835d6e7c96519e0b0dd8efd29a1c8ab07f5d
Derby Stallion 64 (Japan),DERBYSTALLION 64,NDAJ,0 (0x00),big,2649337accba282f74bf0ae62a5103d5c9ac09bd1a27da84179722c51b3ad576
Derby Stallion 64 (Japan) (Beta) [b],(empty),(unknown),0 (0x00),big,57b9f9fc8b93f38ad222d5503d8f310f053b103f482016e344cc3cf9133c2448
"Destruction Derby 64 (Europe) (En,Fr,De)",DESTRUCT DERBY,NDEP,0 (0x00),big,14d3584daec049d12ba802aa6139a2960a9e0400e04c3cdd7ec971ca25498f10
Destruction Derby 64 (USA),DESTRUCT DERBY,NDEE,0 (0x00),big,91abc085eaf245fc3987442a18dfe00585af615fab61e2306b870e7ff4b9e19c
Destruction Derby 64 (USA) (Beta) (1998-07-31),(empty),(unknown),0 (0x00),big,eead2f3ed135e51794131ddef086264c337879458974a4bad223bdf4c037df0c
Dezaemon 3D (Japan),DEZAEMON3D,CDZJ,0 (0x00),big,f20163baf3adea0883da4b900b4e74e5c500f1d64b3ccd8b970860f811e11e36
"Diddy Kong Racing (Europe) (En,Fr,De)",Diddy Kong Racing,NDYP,0 (0x00),big,11578b1dcb8a93a817300b2c43908e937fdf8b2219cd48de88c62a3607e1e88d
"Diddy Kong Racing (Europe) (En,Fr,De) (Rev 1)",Diddy Kong Racing,NDYP,1 (0x01),big,584d59412b3a8c675f5569516a0406128028929e31544490a4dbc3ab16a038b9
Diddy Kong Racing (Japan),Diddy Kong Racing,NDYJ,0 (0x00),big,d81a6fafde1f9a5d22c930b5ce4e30845beb42503240bc57454edf967ebc55e4
"Diddy Kong Racing (USA) (En,Fr)",Diddy Kong Racing,NDYE,0 (0x00),big,dcf54c82a58f6b38603b5865e90c3baabfe553a4d141a1ea2b282170a2e98876
"Diddy Kong Racing (USA) (En,Fr) (Rev 1)",Diddy Kong Racing,NDYE,1 (0x01),big,7de1a8fb2a9558cfc3d9ad4497df698c1e89cf7095ac1531557df2af40ba8bcf
Die Hard 64 (USA) (Proto) (Level 1),(empty),(unknown),0 (0x00),big,f81a4c5da33ade66b936c7388e4094ed9877206c03fe23602d61d6ca7915adc1
Die Hard 64 (USA) (Proto) (Level 2),(empty),(unknown),0 (0x00),big,7530f3c4329230e28a25d759c0a4e0bc14839e32d9ab785fe4dcbe6f54535075
Die Hard 64 (USA) (Proto) (Level 3),(empty),(unknown),0 (0x00),big,d94310dd15e3c62c631ed12e56f539b9080de036f0ac3b901bb062a19f3433df
Dinosaur Planet (USA) (Proto) (2000-12-01),DINO PLANET,NDPE,0 (0x00),big,22830780902f51aea442825c574b88d404ccf30d726219e4b000edc64bcc60a6
"Donald Duck - Goin' Quackers (USA) (En,Fr,De,Es,It)",Donald Duck Goin' Qu,NDQE,0 (0x00),big,16948956781b76c13206444a14549adfaa39f4fe9242c6014a9a0ae024fcbe54
"Donald Duck - Quack Attack (Europe) (En,Fr,De,Es,It)",Donald Duck Quack At,NDQP,0 (0x00),big,f74318c58ef60f72df354c3b6c647763f09b2c1545ecd8ded7c95e1ca962a8fd
"Donkey Kong 64 (Europe) (En,Fr,De,Es)",DONKEY KONG 64,NDOP,0 (0x00),big,f704ddc06dda5bee065dd89adcf86aa58bd817684e190094cd0776c0cabba9df
Donkey Kong 64 (Japan),DONKEY KONG 64,NDOJ,0 (0x00),big,8a6a5b48b0a4d5d31fa59608e65bafe787b8664fbc9dbaecbcce16e41e8934cd
Donkey Kong 64 (USA),DONKEY KONG 64,NDOE,0 (0x00),big,b6347d9f1f75d38a88d829b4f80b1acf0d93344170a5fbe9546c484dae416ce3
Donkey Kong 64 (USA) (Demo) (Kiosk),D K DISPLAY,NDPE,0 (0x00),big,c07b247b60272e17f5f0fe4971b971ea9b492b5f107e92eb65810cf4a6d6ff14
Donkey Kong 64 (USA) (LodgeNet),DONKEY KONG 64,NDOG,0 (0x00),big,cbba422ab7ab29f24502664c4d6da5ffe915065f71eafe1de0ce80f5f6a0eac1
Donsol (World) (Aftermarket) (Unl),(empty),(unknown),0 (0x00),big,f2a7eba26bd3bcaa025365025df5e73741c802b2d0734f591c9e7f4e405a4401
Doom 64 (Europe),Doom64,NDMP,0 (0x00),big,e8460f2fa7e55172a296a1e30354cbb868be924a454ff883d1a6601c66b9610f
Doom 64 (Japan),DOOM64,NDMJ,0 (0x00),big,19ad4130f8b259f24761d5c873e2ce468315cc5f7bce07e7f44db21241cef4a9
Doom 64 (USA),Doom64,NDME,0 (0x00),big,d3404a7e8ca9d20ba034651932e67aa90c6c475c5f4738f222cd1e3056df935f
Doom 64 (USA) (Beta) (1996-12-10),Doom64,NDME,0 (0x00),big,4b3931c14d548fedf98fcd28681ec45695dec415d39fd4a6d58a877e1c6dd2a2
Doom 64 (USA) (Rev 1),Doom64,NDME,1 (0x01),big,c28eaac9a8a8cc1d30c1b50fbb04622c2ddeb9b14ddcecc6edbaad4a6d067f3f
Doraemon - Nobita to 3tsu no Seireiseki (Japan),(empty),NDRJ,0 (0x00),big,3a8c50fd245158cfd37bf6fffd496abd7c68b185e4dc2d901c7cc492659d38cc
Doraemon 2 - Nobita to Hikari no Shinden (Japan),2,ND2J,0 (0x00),big,4503bf20866cb599d88cf1bb5df4dccbd9265c3386c61ce6c9e1968340124c10
Doraemon 3 - Nobita no Machi SOS! (Japan),3 SOS!,N3DJ,0 (0x00),big,410f99bdd58795639da272c9be9d1ab8c35b61f24f7c1fb92f7e83e1069a2602
Doubutsu Banchou (Japan) (Proto),DOUBUTSU BANCHOU,(unknown),0 (0x00),big,62d3fb29147b3f7021a15f9810f4732e5e79e4ebe8a19242e6957fdf7edae38c
Doubutsu no Mori (Japan),DOUBUTSUNOMORI,NAFJ,0 (0x00),big,d9417be056534fcc0bdff2e6cd5f1135511be7c0a4dace04a96a2649596ce908
Dr. Mario 64 (USA),DR.MARIO 64,NN6E,0 (0x00),big,bb2c0dec0a8287ad256929563d0509801c2f239df883c1cf52cab05b23bd77b6
Dr. Mario 64 (USA) (LodgeNet),DR.MARIO 64,NN6G,0 (0x00),big,a4a2b0f451745c0ef905f2e727b6fa87aa1c294e15d9275ea7517b66ff940457
Dragon Sword 64 (Europe) (Proto),DragonStorm,MGVP,0 (0x00),big,8a498dc20583268d9d2406b36ab4765fe7e87fb25f4548d167ce2cf0a41707ad
Dragon Sword 64 (USA) (Proto) (1999-08-25),DragonStorm,(unknown),0 (0x00),big,b833036594701d8973a436a876313cb661e373f2127280760735b3e3c10f832b
Dual Heroes (Europe),Dual heroes PAL,NDHP,0 (0x00),big,292ffc02db47118a4b94a5581394c2edf41d16f0f1d42e9cbfae73dad78f0b2f
Dual Heroes (Japan),Dual heroes JAPAN,NDHJ,0 (0x00),big,2d390313b93fbc838ddda8225901f994d5953191853ed3f7549f48720767930c
Dual Heroes (USA),Dual heroes USA,NDHE,0 (0x00),big,5715846bd3bf7da5c296e10384b7ff4ff6e94ee315856c4ad275d5c2ed9bd712
"Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es)",LT DUCK DODGERS,NDUE,0 (0x00),big,2bbfe0cfc6aff7b623ae53673b8f91e9008cc5749fe07920712e0d0f9abe3fc5
"Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es) (Beta 1)",(empty),(unknown),0 (0x00),big,bac2d18a2dc57499c9637ef6351df0963bdb8200afdfc9be68df9989758599f9
"Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es) (Beta 2) (2000-03-07)",(empty),(unknown),0 (0x00),big,d40569054d74b28b3d57e6e17446665d79f6bd59368d3e3cc263355fdb3278f7
Duke Nukem - Zero Hour (Europe),DUKE NUKEM ZERO HOUR,NDZP,0 (0x00),big,4efcba37b79d2c1beeed9c3aa169346df763760996927aeee4cd1f2385f8b997
Duke Nukem - Zero Hour (France),DUKE NUKEM ZERO HOUR,NDZF,0 (0x00),big,7fbfe76673e54b681ddeefcfc2c59a4910459af335cc9de22a2335f46abf4972
Duke Nukem - Zero Hour (USA),DUKE NUKEM ZERO HOUR,NDZE,0 (0x00),big,5ba016567c53b0d111eb175347c6eee603c31783cd2bb3fea97f31b5ff74190f
Duke Nukem - Zero Hour (USA) (Beta),DUKE NUKEM ZERO HOUR,NDZE,0 (0x00),big,9a679928314ef211c9bf1f5e28e680133d73cd7d0cab0768122be4673cb3e66c
Duke Nukem 64 (Europe),DUKE NUKEM,NDNP,0 (0x00),big,8aaa9ccee878cee7b9084b721ee0314a2136a5b87f6e394a9c46ab79b5dbc823
Duke Nukem 64 (Europe) (Beta),duke,NMSE,0 (0x00),big,0609bc62b79f42132e56f439dcd1db6564a6ef07f294f5e6c67ffb0fe7cb3329
Duke Nukem 64 (France),DUKE NUKEM,NDNF,0 (0x00),big,f51460caf18b6457befb79a62e2930537dceaa409e1dc8a2407226af04671a92
Duke Nukem 64 (USA),DUKE NUKEM,NDNE,0 (0x00),big,5885913d626849190469a7e0e8ad90729b490d1715f70fe73ef047d24f20964b
"Earthworm Jim 3D (Europe) (En,Fr,De,Es,It)",EARTHWORM JIM 3D,NJMP,0 (0x00),big,4beb08c33592bb98339c9e0d3df3d5511ea8ca064864be744fd07e29c76345e5
Earthworm Jim 3D (USA),EARTHWORM JIM 3D,NJME,0 (0x00),big,fb21478839ba3f73b200a6b305d3d888fc38bf841e85454d68e4e5c8987c9890
ECW Hardcore Revolution (Europe),ECW Hardcore Revolut,NWIP,0 (0x00),big,4902bdb739cea1eb5722a120bf046776eb2bb11bbd9a455f181555f9ea528e48
ECW Hardcore Revolution (Germany),ECW Hardcore Revolut,NWID,0 (0x00),big,7da42aca9cd1daa7310aab8221085de14779d6d38fefe3dd2b0e09e2f37bb852
ECW Hardcore Revolution (USA),ECW Hardcore Revolut,NWIE,0 (0x00),big,c12c0f6579d9e49762658c73a58bf5b9a82fab154e29952039b7f8d231869d13
ECW Hardcore Revolution (USA) (Beta),(empty),(unknown),0 (0x00),big,245a8859d079dd5425cc3847186e9fb8ee5d0a3a18ecd388749c74d77c839950
EEPROM & SRAM Erase Program (USA) (v1.2) (LodgeNet),(empty),(unknown),0 (0x00),big,bf1a894e6c62982a3e583fbc281343d027c83b79985145ebc8043a5e50877812
Eikou no Saint Andrews (Japan),(empty),NSTJ,0 (0x00),big,4d7292884c27dc329499dab22a116bbe0d07b62b4b169138c89d7493b09a2bfa
Eleven Beat (Japan),ELEVEN BEAT,ZHAJ,0 (0x00),big,f9eff51dbd4f9ca013c34c13619efb77b8c23bf041b6a69be93f19a89683afcb
Eltale Monsters (Japan),Eltail,NETJ,0 (0x00),big,dd05763200fcff84c29f23c74ea057381e95c64c4677f82fbefabed3d64ab54f
Excitebike 64 (Europe),EXCITEBIKE64,NMXP,0 (0x00),big,a28143f7dc16e905ca4da25665875a2b0d5489bcc7310ce4465637537ab096d0
Excitebike 64 (Japan),EXCITEBIKE64,NMXJ,0 (0x00),big,a2227d626690256f6d1242d5fe7c9bbbf8fa5aec2d803a0a138e1e09dd26b635
Excitebike 64 (USA),EXCITEBIKE64,NMXE,0 (0x00),big,2909229be3cdaac1b5ead544648b970a23e8ea83c2c3a7f891ce121fefe918cc
Excitebike 64 (USA) (Demo) (Kiosk),EXCITEBIKE64,NNXE,0 (0x00),big,cd056cc339b30b77d9a7afa99bc7f9203d655ba9e34ee4048cc0b36982458263
Excitebike 64 (USA) (LodgeNet),EXCITEBIKE64,NMXG,0 (0x00),big,b41714d0efa98f20c7710a306dc92a4323e023c921464c32f05b3e34d63d90f1
Excitebike 64 (USA) (Rev 1),EXCITEBIKE64,NMXE,1 (0x01),big,7f72526876c87423c757ffa2246eb689e4079de473c7a9f599699e6892dfe7ed
"Extreme-G (Europe) (En,Fr,De,Es,It)",extreme_g,NEGP,0 (0x00),big,45cfbf079b7c5777ee47f3b86c643eeeb406acb2a84c95ec4ab2b5e2d754107b
Extreme-G (Japan),EXTREME-G,NEGJ,0 (0x00),big,a4784b478525cef90be5576a1acfde1ca23bac254535952811f22385d5e03601
Extreme-G (USA),extremeg,NEGE,0 (0x00),big,9e67bc574e40ef273759d587972655003d5213e625bfa68d3071dc9782d2071c
"Extreme-G XG2 (Europe) (En,Fr,De,Es,It)",Extreme G 2,NG2P,0 (0x00),big,de1deae125b6f17048cb240132dbfe918b8fec61fe2ed1fe8e5a2e03995211b3
Extreme-G XG2 (Japan),G2,NG2J,0 (0x00),big,5004c79552feb976b72aec4fa3e3eba2e19f7e7b6233be58acee9f7b7fb75cbe
Extreme-G XG2 (USA),Extreme G 2,NG2E,0 (0x00),big,0b5d9904cf45a92396396308506da0ae258afe44a902c96e50d0ff4969c67500
"F1 Pole Position 64 (Europe) (En,Fr,De)",F1 POLE POSITION 64,NHGP,0 (0x00),big,25e201e65a7d8cd656846b51a39a3cf56a8c5cd4ecb6b577091f61de201ec59d
"F1 Pole Position 64 (USA) (En,Fr,De)",F1 POLE POSITION 64,NHGE,0 (0x00),big,c41c9679fee76a32aefa4e35e54eff2a90edd3e501c339c18496eb915c7b1736
"F1 Racing Championship (Brazil) (En,Fr)",F1RacingChampionship,NFRE,0 (0x00),big,cbab945ba0b247d7edba04f64fca46b01adf521fae2235fc4892e4f032d2cc33
"F1 Racing Championship (Europe) (En,Fr,De,Es,It)",F1RacingChampionship,NFRP,0 (0x00),big,51b765ae7cfdd67ed58a92b5c2181c6c5a6949884df0775b53f72c243f0b6919
F1 Racing Championship (USA) (Beta),Monaco Grand Prix,NMGE,0 (0x00),big,2fe66b2acd642d8557250df6c5c8b92d58e76997ea09acdca9ccba8387c305a2
F-1 World Grand Prix (Europe),F1 WORLD GRAND PRIX,NFWP,0 (0x00),big,bc965dee76361aed01d5d745ae1060e010d6d6f118421a6cd6959015767872a6
F-1 World Grand Prix (Europe) (Beta),F1 WORLD GRAND PRIX,NFWP,0 (0x00),big,94c0cfff085a9e1768d840d9b48f226d6a6c12692e629bf0bb0b1b5f7d955b27
F-1 World Grand Prix (France),F1 WORLD GRAND PRIX,NFWF,0 (0x00),big,673a8da8fc0dadf665d54f2cfcf319f8f876941dc0f691d956c6e7afebb4e346
F-1 World Grand Prix (Germany),F1 WORLD GRAND PRIX,NFWD,0 (0x00),big,b64f5b9a3c4afc1907aa71f81edd7df91222a961bd346e0ef57bba6d25900fb4
F-1 World Grand Prix (Japan),F1 WORLD GRAND PRIX,NFWJ,0 (0x00),big,756bfcd4f823a5306520ad48d14d43b94392e5a8c922653328165b109f1be147
F-1 World Grand Prix (USA),F1 WORLD GRAND PRIX,NFWE,0 (0x00),big,b5470d259dfebcdf7910257479ff47792bcc83e82f6c70131d4363d7ecb6e7a0
"F-1 World Grand Prix II (Europe) (En,Fr,De,Es)",F1 WORLD GRAND PRIX2,NF2P,0 (0x00),big,84ad927e250a746b24ab6a9c35264a008d7c27c216da37e5ec1dd46c4c5f699f
Famista 64 (Japan),64,NFSJ,0 (0x00),big,2be370d02d6626d101cf2096087772457c5fe993363a9ba737583f25c5134c92
FIFA - Road to World Cup 98 - World Cup e no Michi (Japan),RoadToWorldCup98,N8IJ,0 (0x00),big,c7f3e24c03d47c1406b22ce7117f1b172fd22237683d7c59603ce5b7f96507af
"FIFA - Road to World Cup 98 (Europe) (En,Fr,De,Es,It,Nl,Sv)",FIFA: RTWC 98,N8IP,0 (0x00),big,baee4f4a6b528eab242f09885c518af282fb02175c622812ecb82d58c79d8849
"FIFA - Road to World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv)",FIFA: RTWC 98,N8IE,0 (0x00),big,aa6f85b86a40b9388d99324e7ff58c3df67ce666f2dbc5cf01a31357b4f7ccc2
"FIFA 64 (Europe) (En,Fr,De)",FIFA Soccer 64,N7IP,0 (0x00),big,f00e3398a860839631b1e06ad26454029bf0d35b3fa27703fdbe58dc1e89051f
"FIFA 99 (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv)",FIFA 99,N9FP,0 (0x00),big,9598ee62390f249f02bd595c8610e5f81a21f71b7d1162f7d1014012ce799db0
"FIFA 99 (USA) (En,Fr,De,Es,It,Nl,Pt,Sv)",FIFA 99,N9FE,0 (0x00),big,1299c143c9310cb03aa7424635fb2e148a00173cf21f9baebbd992c03fb90d43
"FIFA Soccer 64 (USA) (En,Fr,De)",FIFA Soccer 64,N7IE,0 (0x00),big,4721c09d2f5e33c278dd7bf7b13037d95c54cc357d1c9f71ccde91006f7780a4
Fighter Destiny 2 (USA),FIGHTER DESTINY2,NFGE,0 (0x00),big,f38166f6d8ef4f04fc698cd8c4885b84622e4eb58f0aefca47b95af1eb7c3c6d
Fighters Destiny (Europe),Fighter's Destiny,NKAP,0 (0x00),big,45ca5db19ca02452a2b381135f4c866f1a4201e16766f705a3dfd952c04001c4
Fighters Destiny (France),Fighter's Destiny,NKAF,0 (0x00),big,2e2bb4113ad0f987fb51b13250c015eec6fe8def0244d98be33b8675c82b0649
Fighters Destiny (Germany),Fighter's Destiny,NKAD,0 (0x00),big,604cf4dc2f8bbf24091e1a3a9ae431d7a98ed10735de7e2f999fb68ce99a088f
Fighters Destiny (USA),Fighter's Destiny,NKAE,0 (0x00),big,0e6dae67a6e002eb14b4c890fbce18491560c87430e11711f31c0264f6843175
Fighting Cup (Japan),Fighting Cup,NKAJ,0 (0x00),big,b52c505767ae8ffb9dc1168b7f45efb1e440f83adbc1c76a2c937cfc4a24742a
Fighting Force 64 (Europe),Fighting Force,NFFP,0 (0x00),big,5747731470434e1b4613d81288f8a7743b41e61c7349acf673eea92685c75c43
Fighting Force 64 (USA),Fighting Force,NFFE,0 (0x00),big,951b6e3ae20fa5eed054f55e9c345b7eaa913930b330cd87e0ade373233bc417
Fission Failure 64 (World) (Aftermarket) (Unl),FissionFailure64,(unknown),0 (0x00),big,eaaa374a817dc2327133b39371b1f2231fc25a074bee566e678e637eda3f3319
"Flood64 (World) (En,Fr,Es) (Aftermarket) (Unl)",Flood-64,(unknown),0 (0x00),big,3434bfe3df0208ff05afbced300f572b81f78c43377c253c8798a61d7b32ac06
Flying Dragon (Europe),FLYING DRAGON,NFDP,0 (0x00),big,a67ca1d9a3297429524dfde1bc9cd27d7b9b727c4aa336510211b6d2ef070e0e
Flying Dragon (USA),FLYING DRAGON,NFDE,0 (0x00),big,9025db18dfa8926b4ad0fbc003b641b3f6ccb107c23adee1195af6e453795060
"Forsaken (Europe) (En,Fr,Es,It)",Forsaken,NFOP,0 (0x00),big,a94eb83c9e68906d1cfb320bb3d07c74b74f6fa1ac9c57d291e5801cc15e9289
Forsaken (Germany),Forsaken,NFOD,0 (0x00),big,bbe52d306ec9382629e3cc8c6cc14dcf7c9052c89ce3c0ad6172c8975d77795f
Forsaken 64 (USA),Forsaken,NFOE,0 (0x00),big,e323fa5e482244ac7b520fd09393c59ddfca6be0666fbb1325554324a945abe0
Fox Sports College Hoops '99 (USA),Fox Sports Hoops 99,NF9E,0 (0x00),big,f024208dae4c096c3472d880e18e994060c9d7b11140f2fdc7418e68e8aaa8db
Freak Boy (Unknown) (Proto),(empty),(unknown),0 (0x00),big,e22a3dcc9d4b735698c93ae2ca85572550f303521908fa4c4ef3c74921777223
Frogger 2 (USA) (Proto 1),Frogger2,NGVE,1 (0x01),big,4789b3b90ac4802af2d56c29fa8e668c099c7287b4f6109d97f8d6bab75fe16d
Frogger 2 (USA) (Proto 2),Frogger2,NGVE,1 (0x01),big,0bd3d50c0dba7ed314d9fbece9875057a08a95e60a99705d3fc3bc225a0bbfea
Fushigi no Dungeon - Fuurai no Shiren 2 - Oni Shuurai! Shiren Jou! (Japan),F3 2,NSIJ,0 (0x00),big,4073a9f6516ef5d15cdd8b259a952a7d07633a2815f2a738fb5d98415d30a458
F-Zero X (Europe),F-ZERO X,NFZP,0 (0x00),big,1fb61b96aba61ed061201d1267c2dca6532abb12420dc951648b4b06f1eeb181
F-Zero X (Japan),F-ZERO X,CFZJ,0 (0x00),big,fa28ed5fd250ee7a948919a28720b8d02bd2b5dd59c5c629e04dde8875bd90d5
F-Zero X (USA),F-ZERO X,CFZE,0 (0x00),big,2be0f861c30752bbdfa727753a454108bc973c27ad814744f191b1278c1f482d
F-Zero X (USA) (Beta) (The Legend of Zelda - Ocarina of Time leftover data),F-ZERO X,CFZE,0 (0x00),big,8cef0e399c0524052b758109abe894c709a72540a42c4a2118064a5cddf01b6d
F-Zero X (USA) (LodgeNet),F-ZERO X,NFZG,0 (0x00),big,31bfb67a33b4aa00d0fb0ec6ff019417a1fd57df9c39a3260be1c0cc1587a671
F-Zero X Climax,F-ZERO X CLIMAX,CFZE,0 (0x00),big,bc86c02d723a6f76cb02fa8d0eef885de8fb27989ae9e7711df5e695b64ed887
G.A.S.P!! Fighters' NEXTream (Europe),G.A.S.P!!Fighters'NE,NGAP,0 (0x00),big,dcb4b7c2c53b1505e12db2136af1dea4877ba1be446d4524c2bca18dbe65acd3
G.A.S.P!! Fighters' NEXTream (Japan),G.A.S.P!!Fighters'NE,NGAJ,0 (0x00),big,77f06356547f3da2d2631d7d4ee9a9c193bb2f2052cac5a9f93a2f0dc3ece84f
GameBooster 64 (Europe) (v1.1) (Unl),(C) MUSHROOM &,KING,32 (0x20),big,2bc1abf5327b8f3f575a51f96db15b1eb9edd788ec90a04abfa232cbf7276f23
GameBooster 64 (USA) (v1.1) (Unl),(C) MUSHROOM &,KING,32 (0x20),big,15fcd8a0535f9287d0d9f90f6d016ba48b1ae9ee8df7553098292ace7d060159
GameShark Pro (USA) (v2.0) (Unl),(C) DATEL D&D NU10:0,98,0 (0x00),big,ea7cbf3934f02dc6941428d9d8e8d5996a9960ddc686fd437e707978c7cfb9e3
GameShark Pro (USA) (v3.3) (Unl),(C) MUSHROOM &NU09:5,p',39 (0x27),big,88b80ef37d73f3382e8c39cdd14a513c2231081d8558ae84cd7f72912d245b22
Ganbare Goemon - Dero Dero Douchuu Obake Tenkomori (Japan),GOEMON2 DERODERO,NG6J,0 (0x00),big,d42e0fcdcc11678f17cd1977f9b774981923bfca22a989d73d7989b09d25bdd8
Ganbare Goemon - Neo Momoyama Bakufu no Odori (Japan),(empty),NG5J,0 (0x00),big,a1d288fa352ef185e0499a63b64dfc937c460da15a10456f180ee71298277413
Ganbare! Nippon! Olympics 2000 (Japan),OLYMPIC 2000,N3HJ,0 (0x00),big,2256ff68a6043c272157bc7f9790c9bbd22aba9a60703f42f52d5f86c8256a57
Gauntlet Legends (Europe),GAUNTLET LEGENDS,NGXP,0 (0x00),big,344a04c993618acdbf01f8bc7283874d77ebcc78c534a49f3ac2e38ca61e38a9
Gauntlet Legends (Japan),GAUNTLET LEGENDS,NGDJ,0 (0x00),big,4e27d82c476bfaa48172aa6230b2d5beb66a7f326d915b1e2e4ad0ccf7736d24
Gauntlet Legends (USA),GAUNTLET LEGENDS,NGXE,0 (0x00),big,1cc9cb70686b4785c46fff337ded30a2e1f83f2d63768ad8041e978ad0379ec9
Gauntlet Legends (USA) (LodgeNet),GAUNTLET LEGENDS,NGXG,0 (0x00),big,47fae677c3fd9d0654647f1556791ff9e36fb64e28c2a1b9f167d0d2fdfc88e6
Getter Love!! - Cho Renai Party Game Tanjou (Japan),Getter Love!!,NGLJ,0 (0x00),big,d66a9b152d32d96fa1360e23437cfd30da7451e444945984387209fceb3a8ff1
"Gex 3 - Deep Cover Gecko (Europe) (En,Es,It)",Gex 3 Deep Cover Gec,NX3P,0 (0x00),big,68ab684678e59d9b05416fbf3a5964ea7761fee8c447ffb6ad8620a82a16d1a4
"Gex 3 - Deep Cover Gecko (Europe) (Fr,De)",Gex 3 Deep Cover Gec,NX3X,0 (0x00),big,ca8e4d82ce229b6ca4d58328f874379c3e95171b35c6af5695515c31bef10866
Gex 3 - Deep Cover Gecko (USA),Gex 3 Deep Cover Gec,NX3E,0 (0x00),big,ec968d0844563fa9b3984f51f648d3676c9e373ed9669b3ce8047070151c89c6
Gex 64 - Enter the Gecko (Europe),GEX: ENTER THE GECKO,NX2P,0 (0x00),big,c2febf6820928ed6ab87e11847da6c29ee125344427ccbbeb4f66030f63748ff
Gex 64 - Enter the Gecko (USA),GEX: ENTER THE GECKO,NX2E,0 (0x00),big,665dfdcd28b5055f49896220456c6e3aea2adfac0ec37abebee1fafd2adeb1eb
Glamorous Zombie Flakes (World) (Aftermarket) (Unl),N64 APP,(unknown),0 (0x00),big,15232963b5fd553cb81fd95f0ccfecbeec318575b9145dc3ecd88dfb9ad9b35f
